,depth,num_sum,medium,percentage
0,0,171696795,158702052.0,0.9243157509142788
1,1,229860452,167567652.0,0.7289973135526593
2,2,265478889,193841552.0,0.7301580654121241
3,3,182877761,96605208.0,0.5282501681546724
4,4,231689147,108663147.0,0.469004044457896
5,5,235399371,72775695.0,0.309158408923701
6,6,95286600,29722688.0,0.3119293583777782
7,7,80177403,23229555.0,0.2897269571078525
8,8,85768412,36007397.0,0.4198211924455358
9,9,74073873,39591298.0,0.5344839738567471
10,10,54840767,23853168.0,0.4349532164639492
11,11,52007255,29505598.0,0.5673361918447725
12,12,39179000,19114192.0,0.4878682967916486
13,13,28736662,15293322.0,0.5321885332402212
14,14,22923858,14017624.0,0.6114862515724884
15,15,19503919,11195977.0,0.5740372998882942
16,16,13281723,8797258.0,0.6623581895210433
17,17,11368390,7838162.0,0.6894698369777954
18,18,10576130,7391461.0,0.6988814434013197
19,19,9894005,6927145.0,0.7001355871560606
20,20,9367201,5791646.0,0.618289924599675
21,21,7970450,3178620.0,0.3988005696039747
22,22,4578643,675561.0,0.14754611792183842
23,23,1134572,48332.0,0.04259932379787268
24,24,187954,3135.0,0.016679613096821564
25,25,115730,1323.0,0.011431780869264668
26,26,82792,712.0,0.008599864721229105
27,27,15052,241.0,0.016011161307467447
28,28,216,113.0,0.5231481481481481
29,29,177,82.0,0.4632768361581921
30,30,128,63.0,0.4921875
